target_ID,VIRUS_name
1,Herpes simplex virus 1
2,Herpes simplex virus
3,Yellow fever virus
4,Norovirus
5,Hepatitis E virus
6,JC polyomavirus
7,Varicella zoster virus
8,Adenovirus
9,Xenotropic murine leukemia virus-related virus
10,Human papilloma virus (HPV)
11,Rhinovirus
12,Epstein Barr virus
13,Influenza A virus
14,Chikungunya virus
15,Lassa virus
16,Ebola virus
17,Rabies virus
18,Zika virus
19,West Nile virus
20,polyomavirus
21,MERS-CoV
22,Ross River virus
23,Marburg virus
24,Poliovirus
25,Kaposi's sarcoma-associated herpesvirus
26,Human coronavirus OC43
27,Herpes simplex virus 2
28,Crimean-Congo hemorrhagic fever virus
29,Influenza virus
30,Parainfluenza virus
31,T-lymphotropic virus type 1
32,SARS-CoV
33,Influenza C virus
34,Sindbis virus
35,Vaccinia virus
36,Hepatitis C virus
37,Coronavirus
38,Human immunodeficiency virus 2
39,Rift Valley fever virus
40,Rubella virus
41,Human herpesvirus 6
42,Hepatitis D virus
43,Enterovirus
44,2019nCoV
45,Japanese encephalitis virus
46,Human immunodeficiency virus 1
47,Filovirus
48,Avian influenza virus
49,Human immunodeficiency virus
50,Dengue virus
51,Cytomegalovirus
52,BK polyomavirus
53,Influenza B virus
54,Hepatitis A virus
55,Hepatitis B virus
56,Respiratory syncytial virus
